虞美人,http://baike.baidu.com/item/%E8%99%9E%E7%BE%8E%E4%BA%BA/6043
鸡冠花,http://baike.baidu.com/item/%E9%B8%A1%E5%86%A0%E8%8A%B1/404974?sefr=cr
凤仙花,http://baike.baidu.com/item/%E5%87%A4%E4%BB%99%E8%8A%B1/202225?sefr=cr
迎春花,http://baike.baidu.com/item/%E8%BF%8E%E6%98%A5%E8%8A%B1/2379?sefr=cr
金盏菊,http://baike.baidu.com/item/%E9%87%91%E7%9B%8F%E8%8F%8A/769810?sefr=cr
向日葵,http://baike.baidu.com/item/%E5%90%91%E6%97%A5%E8%91%B5/6106
麦秆菊,http://baike.baidu.com/item/%E9%BA%A6%E7%A7%86%E8%8F%8A?sefr=cr
曼陀罗,http://baike.baidu.com/item/%E6%9B%BC%E9%99%80%E7%BD%97/84720?sefr=cr
紫罗兰,http://baike.baidu.com/item/%E7%B4%AB%E7%BD%97%E5%85%B0/5033?sefr=cr
石竹,http://baike.baidu.com/item/%E7%9F%B3%E7%AB%B9?sefr=cr
茉莉,http://baike.baidu.com/item/%E8%8C%89%E8%8E%89%E8%8A%B1/4951?sefr=cr&fromtitle=%E8%8C%89%E8%8E%89&fromid=315954
秋海棠,http://baike.baidu.com/item/%E7%A7%8B%E6%B5%B7%E6%A3%A0/40395?sefr=cr
三色堇,http://baike.baidu.com/item/%E4%B8%89%E8%89%B2%E5%A0%87/200112?sefr=cr
蝴蝶兰,http://baike.baidu.com/item/%E8%9D%B4%E8%9D%B6%E5%85%B0/17262?sefr=cr
鹤望兰,http://baike.baidu.com/item/%E9%B9%A4%E6%9C%9B%E5%85%B0?sefr=cr
昙花,http://baike.baidu.com/item/%E6%98%99%E8%8A%B1/9779247?sefr=cr
芍药,http://baike.baidu.com/item/%E8%8A%8D%E8%8D%AF/328161?sefr=cr
睡莲,http://baike.baidu.com/item/%E7%9D%A1%E8%8E%B2/11999986?sefr=cr
荷花,http://baike.baidu.com/item/%E8%8D%B7%E8%8A%B1/158674?sefr=cr
朱顶红,http://baike.baidu.com/item/%E6%9C%B1%E9%A1%B6%E7%BA%A2/313708?sefr=cr
马蹄莲,http://baike.baidu.com/item/%E9%A9%AC%E8%B9%84%E8%8E%B2/201250?sefr=cr
石蒜,http://baike.baidu.com/item/%E7%9F%B3%E8%92%9C/300830?sefr=cr
郁金香,http://baike.baidu.com/item/%E9%83%81%E9%87%91%E9%A6%99/13506?sefr=cr
水仙,http://baike.baidu.com/item/%E6%B0%B4%E4%BB%99/6410?sefr=cr
风信子,http://baike.baidu.com/item/%E9%A3%8E%E4%BF%A1%E5%AD%90/22530?sefr=cr
百合,http://baike.baidu.com/item/%E7%99%BE%E5%90%88/7886?sefr=cr
茶花,http://baike.baidu.com/item/%E8%8C%B6%E8%8A%B1?sefr=cr
天天开,http://baike.baidu.com/item/%E5%A4%A9%E5%A4%A9%E5%BC%80?sefr=cr
仙客来,http://baike.baidu.com/item/%E4%BB%99%E5%AE%A2%E6%9D%A5?sefr=cr
杜鹃,http://baike.baidu.com/item/%E6%9D%9C%E9%B9%83%E8%8A%B1/159279?sefr=cr
火鹤,http://baike.baidu.com/item/%E7%81%AB%E9%B9%A4%E8%8A%B1/1790177?sefr=cr&fromtitle=%E7%81%AB%E9%B9%A4&fromid=9688264
榕树,http://baike.baidu.com/item/%E6%A6%95%E6%A0%91/795?sefr=cr
火炬,http://baike.baidu.com/item/%E7%81%AB%E7%82%AC/19935671#viewPageContent
玫瑰,http://baike.baidu.com/item/%E7%8E%AB%E7%91%B0/63206?sefr=cr
康乃馨,http://baike.baidu.com/item/%E5%BA%B7%E4%B9%83%E9%A6%A8/34029?sefr=cr
绿萝,http://baike.baidu.com/item/%E7%BB%BF%E8%90%9D/70257?sefr=cr
米兰,http://baike.baidu.com/item/%E7%B1%B3%E5%85%B0/4476345
鸭掌木,http://baike.baidu.com/item/%E9%B9%85%E6%8E%8C%E6%9F%B4?fromtitle=%E9%B8%AD%E6%8E%8C%E6%9C%A8&fromid=3113532&type=syn&sefr=cr
桂花,http://baike.baidu.com/item/%E6%A1%82%E8%8A%B1/157211?sefr=cr
菊花,http://baike.baidu.com/item/%E8%8F%8A%E8%8A%B1/29500?sefr=cr
